State/UT,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Assam,2006,0.780952381,48.81428571,14.0047619,165.7333333,241.4047619,414.4857143,331.2714286,205.252381,247.3952381,76.58571429,17.93809524,8.485714286,1772.152381
Dadra and Nagar Haveli,2006,,,,,,,,,,,,,
Jharkhand,2006,0.05,0,19.78333333,17.48,103.24,155.7,439,288.39,387.3307692,13.39090909,5.016666667,0,1429.381678
Bihar,2006,0,0,5.425,15.86,47.45,158.2347826,289.168,139.272,285.244,23.452,3.646153846,0.49,968.2419365
Chhattisgarh,2006,0,0,33.77142857,27.75714286,36.88666667,69.125,386.8,428.44375,148.775,13.73125,9,0.05625,1154.346488
Andhra Pradesh,2006,0.284615385,0,38.64615385,40.94615385,67.8,117.0461538,92.46923077,165.5846154,177.4846154,166.1846154,86.18461538,9.476923077,962.1076923
Jammu and Kashmir,2006,161.17,68.77,88.44,51.43,33.57,65.84,168.01,181.69,156.13,38.39,62.14,90.24,1165.82
Goa,2006,0,0,21.1,0.3,349.9,745.4,607.3,731.1,418.2,362.1,53.4,0,3288.8
Chandigarh,2006,23.1,0.6,111.7,0,49.7,66.5,227.7,211.4,36.7,8.8,7.4,8.4,752
Nagaland,2006,1.85,35.8,7.45,141.35,139.65,214.075,219.275,110.775,231.375,68.03333333,17.875,4.9,1192.408333
Tamil Nadu,2006,15.75666667,0.11,54.52333333,34.37666667,61.91,55.56,25.53,69.19,116.0933333,278.69,216.4033333,28.23,956.3733333
West Bengal,2006,0.013333333,1.506666667,7.593333333,59.68,154.8866667,247.1882353,471.7882353,279.3705882,397.6764706,80.09411765,9.33125,0.9375,1710.066397
Sikkim,2006,0.8,24.9,90.1,189.1,418.8,461.9,468.2,466.1,401.7,98.8,35.1,11.2,2666.7
Manipur,2006,0,18.7,2.15,125.05,329.75,220.5,199,74.25,152.35,8.65,22.55,6.85,1159.8
Arunachal Pradesh,2006,5.218181818,123.375,41.45454545,218.1454545,227.5230769,357.09,426.8307692,227.0666667,318.4307692,92.33333333,108.4769231,21.08461538,2167.029336
Haryana,2006,2.966666667,0.277777778,39.90526316,1.068421053,31.47894737,55.23333333,154.9631579,44.14210526,51.40526316,2.926315789,1.668421053,3.294736842,389.3304094
Meghalaya,2006,0.066666667,40.73333333,32.8,232.9,610.7666667,780.5,503.0666667,268.7666667,422.7333333,113.3333333,27.6,11.03333333,3044.3
Mizoram,2006,0,2.4,0.75,31.05,368.75,463.55,595.1,349.45,283.35,193.85,1.25,0,2289.5
Assam,2007,1.547619048,71.44761905,29.01363636,248.5727273,217.6045455,441.2590909,461.0761905,304.7409091,366.6238095,128.3380952,25.07619048,5.404761905,2300.705195
Odisha,2007,0.632142857,37.50357143,8.614285714,21.53571429,73.175,319.1035714,276.525,414.4571429,408.6857143,71.59642857,13.27857143,0,1645.107143
Himachal Pradesh,2007,0.072727273,134.7727273,168.5545455,15.91818182,37.21818182,114.7454545,218.0272727,320.6545455,80.24545455,11.58181818,0.345454545,19.86363636,1122
Maharashtra,2007,0,0.425806452,2.5375,3.665625,4.381818182,322,342.969697,333.9575758,255.6666667,12.55757576,8.754545455,0,1286.91681
Madhya Pradesh,2007,0.084444444,26.01555556,7.597777778,1.593333333,8.413333333,103.9244444,315.4888889,240.1133333,152.0422222,1.804444444,2.353333333,1.391111111,860.8222222
Rajasthan,2007,0.228125,18.53125,10.23125,1.434375,2.246875,57.55625,191.0375,133.49375,71.73125,0,0,0.7375,487.228125
Uttarakhand,2007,4.3,142.0285714,108.6571429,17.74285714,50.45,191.8272727,452.7909091,587.8272727,279.3777778,8.936363636,0,9.033333333,1852.971501
Andaman and Nicobar Islands,2007,10.75,3.5,30.2,53.95,386.1,367.2,325,401.3,411.9,237.25,257.25,78.95,2563.35
Tripura,2007,0,66.8,37.63333333,281.2666667,246.0666667,615.5333333,676.8,296.8,409.2666667,233.6,89.6,0,2953.366667
Gujarat,2007,0.012,0.452,0.016,0.16,0.016,110.168,461.336,415.344,191.392,0.008,2.556,0,1181.46
Daman and Diu,2007,1.5,1,0,0,0,343.9,756,782.9,302.6,0,2.3,0,2190.2
Punjab,2007,1.071428571,67.98,58.18,6.825,7.00625,76.7625,87.275,138.9125,41.09375,0.25625,2.1375,8.14375,495.6439286
Uttar Pradesh,2007,0.375925926,55.11403509,30.91929825,2.153571429,19.76666667,79.64918033,249.7266667,186.6466667,114.1918033,6.159322034,0,0.92,745.6231363
Lakshadweep,2007,9.8,4.7,0,16.9,147.3,555.6,298.3,267.2,346,213.6,52.1,126.4,2037.9
Telangana,2007,0,2.211111111,0.133333333,16.4,15.76666667,165.4888889,133.6333333,214.6444444,269.0777778,44.3,16.45555556,0.011111111,878.1222222
Karnataka,2007,0,0.218518519,1.455555556,24.50740741,63.19259259,316.5037037,289.6074074,290.7518519,268.2925926,129.2851852,23.08518519,8.940740741,1415.840741
Puducherry,2007,0.1,33.1,0,19.7,4.9,28.3,119.5,151.5,59,432.8,161.3,344.8,1355
Delhi,2007,1.5,69.5,55.1,1,45.3,137.7,156.9,189.7,61.6,0,0.7,0.1,719.1
Kerala,2007,0.35,6.971428571,7.842857143,143.6357143,209.7285714,728.7285714,952.9785714,492.1214286,533.8,357.25,101.2857143,10.8,3545.492857
Meghalaya,2007,0,67.63333333,17.16666667,281.6333333,286.5333333,1210.05,1971.3,537.7,925.5,362.95,105.35,0.15,5765.966667
Mizoram,2007,0,30.65,13.5,231.6,100.55,651.7,448.75,223.55,715.8,187.3,49.65,0,2653.05
Haryana,2007,1.95,96.69285714,55.96153846,2.084615385,18.69230769,89.25263158,74.5,101.6105263,53.25789474,0.063157895,0.252631579,2.131578947,496.4497397
Arunachal Pradesh,2007,15.57692308,73.23076923,50.84166667,262.2615385,218.5181818,452.2769231,605.9818182,250.2,432.225,121.3583333,19.53846154,9.353846154,2511.363462
Manipur,2007,1.1,150.2,10.8,98.35,262.05,171.6,220.95,173.7,239.05,169.2,66.05,0.1,1563.15
Sikkim,2007,2.1,176.5,67.4,211,281.4,455.4,656.3,377.2,476,98.9,23.4,5,2830.6
West Bengal,2007,1.35625,55.3625,31.5125,56.44375,121.3666667,319.2352941,612.1705882,341.3941176,428.5294118,61.81875,29.08,0.253846154,2058.523675
Tamil Nadu,2007,4.923333333,6.556666667,1.066666667,55.14,44.67,64.06666667,83.03,141.1733333,83.17333333,232.49,82.67333333,219.62,1018.583333
Chandigarh,2007,0,164.7,137.3,6,9.8,180.2,139.6,271.9,53,2.2,0,7.6,972.3
Nagaland,2007,0.35,36.225,28.225,128.55,177.075,263.525,300.4333333,302.575,246.8,190.15,62.5,16.15,1752.558333
Andhra Pradesh,2007,0,6.8,1.076923077,15.60769231,46.60769231,254.9,108.2769231,173.3307692,219.8230769,188.1384615,24.12307692,23.2,1061.884615
Jammu and Kashmir,2007,9.92,89.54,216.28,9.51,55.25,132.51,127.81,196.6,27.47,0.33,1.11,30.16,896.49
Bihar,2007,0,14.45,18.5375,7.666666667,35.1,126.9038462,499.4444444,350.4576923,324.9384615,38.10384615,0.2,0.155555556,1415.958013
Chhattisgarh,2007,0,26.96875,9.025,3.5375,13.0625,225.9125,279.8125,311.4625,244.25625,55.59375,5.96875,0,1175.6
Goa,2007,0,0,0,0,96.5,1016,761.9,1051.7,775.5,76.2,88.8,0.6,3867.2
Dadra and Nagar Haveli,2007,,,,,,,,,,,,,
Jharkhand,2007,0,69.72857143,15.88,15.13,45.4,116.1363636,504.74,345.1454545,313.6,37.7,5.95,0,1469.41039
Assam,2008,29.33809524,13.8,116.2761905,171.4238095,212,378.3761905,398.0095238,472.6,252.0952381,127.3619048,1.876190476,1.442857143,2174.6
Odisha,2008,33.91785714,17.38214286,21.41428571,37.91428571,47.26428571,336.7464286,321.0928571,381.2892857,374.4178571,29.39285714,4.439285714,0,1605.271429
Maharashtra,2008,0.6375,1.259375,27.73666667,3.821875,6.246875,208.7272727,273.5969697,305.1878788,272.9575758,33.97878788,3.551612903,1.338709677,1139.041099
Himachal Pradesh,2008,77.91,41.95,3.12,40.95,64.88,262.7909091,268.5272727,325.4636364,178.2181818,22.03636364,1.336363636,15.9,1303.082727
Madhya Pradesh,2008,0.851111111,1.686666667,4.753333333,3.842222222,4.037777778,228.5866667,232.0977778,223.9155556,130.1511111,14.90444444,5.630232558,0.033333333,850.4902326
Rajasthan,2008,0.1125,0.05,0.284375,5.86875,11.93125,120.496875,140.26875,160.81875,90.590625,1.48125,1.03125,1.35,534.284375
Uttarakhand,2008,15.66666667,11.43333333,5.7,38.32,43.125,240.75,424.9166667,394.8636364,181.9,34.26666667,8.0125,2.6625,1401.61697
Andaman and Nicobar Islands,2008,22.5,40.85,139.8,215.3,418.7,393.1,404.95,400.75,248.1,247.7,353.6,104.35,2989.7
Tripura,2008,29.83333333,15.63333333,46.9,38.33333333,227.1,313.8333333,371.6,355.1666667,189.8333333,272.6,0,0.033333333,1860.866667
Gujarat,2008,0.024,0.072,0.004,1.608,0,70.82,274.708,329.748,256.552,12.216,0.204,2.4,948.356
Daman and Diu,2008,0,0.1,0,0,0,108.7,597.2,593.25,315.65,1.25,0,0,1616.15
Punjab,2008,14.55333333,6.72,0,28.14,42.82666667,203.88,97.1875,256.11875,57.5375,10.0625,0.10625,1.44375,718.57625
Uttar Pradesh,2008,1.54,1.825,0.002941176,6.183333333,27.65641026,245.0035088,352.0095238,259.6709677,99.06666667,11.20655738,2.975,0,1007.139909
Lakshadweep,2008,5.5,19.9,120.4,15.7,180.4,254.5,364,206.5,108.9,253,67.5,130.1,1726.4
Telangana,2008,0.022222222,28.8,117.8111111,17.94444444,9.811111111,119.7111111,169.5111111,372.8222222,156.6555556,31.83333333,13.74444444,0.411111111,1039.077778
Karnataka,2008,0.025925926,13.05555556,133.8703704,24.47777778,57.12962963,205.4925926,199.7666667,272.337037,167.0925926,106.9407407,28.01111111,2.37037037,1210.57037
Puducherry,2008,51,21.5,225.3,21.6,18.6,49,8.3,60.3,38.8,332.3,704.5,128.5,1659.7
Delhi,2008,1.9,1.9,0,23.6,146.2,120,159.1,245.4,109.2,0,0,0,807.3
Kerala,2008,0.571428571,30.97142857,223.7428571,114.3142857,82.9,474.0785714,512.6857143,333.8,343.5571429,354.8785714,64.19285714,19.48571429,2555.178571
Meghalaya,2008,35.65,13.8,190.4,231,299.15,931.4,1414.7,1261.15,375.65,267.55,1.35,2.15,5023.95
Mizoram,2008,37.7,4.7,9.2,27.75,70.2,246.3,258.8,426.4,357.65,164.8,24.6,0,1628.1
Haryana,2008,2.957142857,1.985714286,0.008333333,14.6,63.74615385,148.5052632,127.3052632,162.0052632,114.3157895,2.115789474,4.521052632,0.057894737,642.1236601
Arunachal Pradesh,2008,75.4,31.98461538,114.9727273,126.9615385,201.1923077,519.3363636,552.1636364,572.9384615,220.8230769,119.6545455,8.263636364,8.630769231,2552.321678
Manipur,2008,16.65,18.35,53.95,22.8,99.7,222.95,135.1,264.95,182.6,57.5,0.45,7,1082
Sikkim,2008,26.5,20.2,136.2,291.1,177.4,611.5,529,541.5,348.9,79.1,21,17.1,2799.5
West Bengal,2008,39.88,10.3,19.3375,52.8,108.74375,426.7176471,444.7470588,374.8764706,254.9470588,76.9875,2.50625,0.2375,1812.080735
Tamil Nadu,2008,15.84,33.67333333,182.7333333,30.2,50.50333333,48.89,77.29,132.0166667,70.31,251.4266667,305.2833333,53.77,1251.936667
Chandigarh,2008,13.1,2.2,0,33.2,49.8,376.2,182.6,291,263.2,11.2,2,0,1224.5
Nagaland,2008,38.43333333,6.4,57.525,22.55,151,300.3,238.0666667,220.3333333,173.45,118.1,0.133333333,3.625,1329.916667
Andhra Pradesh,2008,7.676923077,49.15384615,84.26923077,8.723076923,36.88461538,75.26923077,154.5461538,205.5615385,138.9615385,89.69230769,136.2230769,2.861538462,989.8230769
Jammu and Kashmir,2008,105.13,90.76,7.92,77.43,48.97,123.8,158.38,162.6,36.89,35.21,25.96,70.73,943.78
Chhattisgarh,2008,3.8,8.4,17.9,6.9125,4.26875,235.925,287.1375,310.5625,198.59375,10.99375,0.39375,0,1084.8875
Bihar,2008,32.72222222,4.744444444,1.785714286,16.5,64.93,268.04,434.5230769,304.892,141.226087,34.5826087,0,0.155555556,1304.101709
Goa,2008,0,0,75.2,10.3,26.4,886.4,703.3,1048,664.1,9.5,2,5.6,3430.8
Dadra and Nagar Haveli,2008,,,,,,,,,,,,,
Jharkhand,2008,13.11666667,4.257142857,18.61428571,19.68333333,33.86666667,311.26,417.575,276.75,184.3333333,17.7,2.46,0,1299.616429
Kerala,2009,3.028571429,1.535714286,61.34285714,71.3,192.85,444.4142857,901.8,261.45,314.5571429,203.9,281.3357143,44.8,2782.314286
Puducherry,2009,33.7,0,105.4,49.9,36.5,5.5,37.1,87,50.7,76.2,712.4,389.5,1583.9
Karnataka,2009,0.018518519,0,20.94814815,21.66296296,85.81111111,143.462963,410.3962963,202.5962963,280.5,163.0037037,73.26296296,28.11111111,1429.774074
Telangana,2009,1.722222222,0,3.533333333,8.777777778,26.4,68.14444444,114.5,192.6333333,153.8777778,84.15555556,30.85555556,1.811111111,686.4111111
Delhi,2009,4,5.5,8.4,4.5,31.4,16.6,119,156.3,192.9,2,17.5,1.9,560
Lakshadweep,2009,4.7,1.4,0.1,18.2,162,401.6,266.4,185,144.9,89.2,166.4,132.6,1572.5
Uttar Pradesh,2009,1.338461538,2.684210526,1.976,4.244827586,29.34054054,24.30634921,152.2984127,197.7047619,128.5301587,72.29047619,9.211111111,3.685714286,627.6110243
Daman and Diu,2009,0,0,0,0,0,124.3,763.5,6.3,5.5,3,5,0,907.6
Gujarat,2009,0,0,0.012,0,0,44.564,472.864,124.628,53.552,26.132,8.716,0.028,730.496
Punjab,2009,10.24375,19.25625,12.26875,21.9125,5.075,11.83125,174.11875,91.5,73.9,3.08125,5.50625,0,428.69375
Andaman and Nicobar Islands,2009,33.95,13.95,55.2,146.5,369.8,448.6,249.1,308.35,293,221.1,94.8,103.25,2337.6
Tripura,2009,0,4.166666667,12.8,136.3666667,391.8333333,290.1333333,476.9666667,372.8,219.0333333,174.3,20.93333333,0,2099.333333
Uttarakhand,2009,3.86,23.35,2.025,20.52,33.8,64.225,294.5,318.6083333,187.6666667,107.7083333,6.691666667,1.708333333,1064.663333
Rajasthan,2009,0.646875,0.803125,2.34375,0.471875,2.35,31.121875,171.40625,104.259375,42.74375,12.6375,8.578125,0.590625,377.953125
Madhya Pradesh,2009,9.453333333,0.102222222,1.08,1.691111111,5.297777778,43.51555556,318.3133333,171.2266667,147.3333333,63.56888889,61.65111111,12.42888889,835.6622222
Maharashtra,2009,0.029032258,0,3.841935484,1.077419355,12.40645161,104.8454545,434.8636364,184.9969697,171.8818182,100.0818182,90.72121212,5.25,1109.995748
Odisha,2009,0.007142857,0,3.157142857,3.453571429,80.44642857,90.08928571,619.1071429,300.1107143,170.9392857,116.7535714,34.3,0.267857143,1418.632143
Himachal Pradesh,2009,34.325,35.68333333,32.125,42.7,43.25,40.775,224.2083333,190.5666667,213.1666667,12.86666667,36.78333333,7.266666667,913.7166667
Assam,2009,4.180952381,10.01428571,45.31428571,139.6095238,202.7619048,295.4904762,353.5190476,423.6714286,173.8380952,123.152381,12.42857143,3.331818182,1787.312771
Dadra and Nagar Haveli,2009,0,0,0,0,0,130.6,1448.1,251.4,174.5,92.9,0,0,2097.5
Jharkhand,2009,9.96,0,9.92,0.82,73.825,87.61,210.8642857,239.3785714,244.9357143,107.9692308,10.57,1.55,997.4028022
Chhattisgarh,2009,0.825,0,0,1.10625,5.275,37.9625,454.65,241.79375,79.625,22.775,33.21875,0.05625,877.2875
Bihar,2009,1.155555556,1.1,2.71,1.8,162.6666667,62.3125,221.240625,309.903125,126.428125,79.28387097,3.776923077,1.341176471,973.7185677
